region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Goaso,2020,4,1,0.46748875095201403,0
Ahafo,Asutifi North,2020,5,1,0.41330129047695596,0
Ahafo,Goaso,2020,5,1,0.4462439395171391,0
Ahafo,Asutifi North,2020,6,1,0.4163983312473068,0
Ahafo,Goaso,2020,6,1,0.45170200716201064,0
Ahafo,Asutifi North,2020,7,1,0.411119068753141,0
Ahafo,Goaso,2020,7,1,0.4465711910850235,0
Ahafo,Asutifi North,2020,8,1,0.4048155024042181,0
Ahafo,Goaso,2020,8,1,0.40200182203544604,0
Ahafo,Asutifi North,2020,9,1,0.4226939473226628,0
Ahafo,Goaso,2020,9,1,0.4818618988597466,0
Ahafo,Asutifi North,2020,10,1,0.4302198523844337,0
Ahafo,Goaso,2020,10,1,0.4779467805169577,0
Ahafo,Asutifi North,2020,11,1,0.4784320536839166,0
Ahafo,Goaso,2020,11,1,0.526156931019,0
Ahafo,Asutifi North,2020,12,1,0.46800275373933503,0
Ahafo,Goaso,2020,12,1,0.5034908036080564,0
Ahafo,Asutifi North,2021,1,1,0.44758551165350136,0
Ahafo,Goaso,2021,1,1,0.4439682518807252,0
Ahafo,Asutifi North,2021,2,1,0.5032736251463321,0
Ahafo,Goaso,2021,2,1,0.4320897634015517,0
Ahafo,Asutifi North,2021,3,1,0.47376722522204034,0
Ahafo,Goaso,2021,3,1,0.42530637515159114,0
Ahafo,Asutifi North,2021,4,1,0.44488535952505065,0
Ahafo,Goaso,2021,4,1,0.40688255752574415,0
Ahafo,Asutifi North,2021,5,1,0.4442300156561188,0
Ahafo,Goaso,2021,5,1,0.40776298954697526,0
Ahafo,Asutifi North,2021,6,1,0.4070641220010868,0
Ahafo,Goaso,2021,6,1,0.4009607510839534,0
Ahafo,Asutifi North,2021,7,1,0.40788416328751925,0
Ahafo,Goaso,2021,7,1,0.4109663892013209,0
Ahafo,Asutifi North,2021,8,1,0.4128110822705631,0
Ahafo,Goaso,2021,8,1,0.40822773596267264,0
Ahafo,Asutifi North,2021,9,1,0.42703439906326623,0
Ahafo,Goaso,2021,9,1,0.4202830781408708,0
Ahafo,Asutifi North,2021,10,1,0.4331810135262811,0
Ahafo,Goaso,2021,10,1,0.4278753231851937,0
Ahafo,Asutifi North,2021,11,1,0.4911555353250905,0
Ahafo,Goaso,2021,11,1,0.48580583741119054,0
Ahafo,Asutifi North,2021,12,1,0.491124266615601,0
Ahafo,Goaso,2021,12,1,0.4645848300783003,0
Ahafo,Asutifi North,2022,1,1,0.4456033995764144,0
Ahafo,Goaso,2022,1,1,0.4413636408142313,0
